,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
83,84,Lubbock,Texas,"255,885",33.5656,-101.8867,"Lubbock, Texas",4,Mexican Restaurant,Burger Joint,Sandwich Place,American Restaurant,Fast Food Restaurant,Steakhouse,Pizza Place,Fried Chicken Joint,Italian Restaurant,Café,Sushi Restaurant,Thai Restaurant,BBQ Joint,Deli / Bodega,Donut Shop,Chinese Restaurant,Cajun / Creole Restaurant,French Restaurant,Diner,Korean Restaurant,Hot Dog Joint,Breakfast Spot,Bakery,Asian Restaurant,Greek Restaurant
84,85,Scottsdale,Arizona,"255,310",33.6843,-111.8611,"Scottsdale, Arizona",0,Pizza Place,American Restaurant,Mexican Restaurant,Burger Joint,Seafood Restaurant,Italian Restaurant,Mediterranean Restaurant,New American Restaurant,Café,Vegetarian / Vegan Restaurant,Steakhouse,Sushi Restaurant,Breakfast Spot,Gluten-free Restaurant,Chinese Restaurant,Greek Restaurant,Hot Dog Joint,Middle Eastern Restaurant,Sandwich Place,Deli / Bodega,Fast Food Restaurant,Donut Shop,Caribbean Restaurant,English Restaurant,Bagel Shop
85,86,Reno,Nevada,"250,998",39.5491,-119.8499,"Reno, Nevada",1,Mexican Restaurant,Pizza Place,Breakfast Spot,American Restaurant,Italian Restaurant,Café,Sandwich Place,Bakery,Burger Joint,Steakhouse,Thai Restaurant,Fast Food Restaurant,BBQ Joint,Chinese Restaurant,Seafood Restaurant,Deli / Bodega,Korean Restaurant,Diner,New American Restaurant,Sushi Restaurant,Fried Chicken Joint,Spanish Restaurant,Greek Restaurant,Mediterranean Restaurant,Japanese Restaurant
86,87,Glendale,Arizona,"250,702",33.5331,-112.1899,"Glendale, Arizona",0,Pizza Place,Burger Joint,Italian Restaurant,Mexican Restaurant,American Restaurant,Sandwich Place,Café,Breakfast Spot,Greek Restaurant,New American Restaurant,Mediterranean Restaurant,Sushi Restaurant,Steakhouse,Vegetarian / Vegan Restaurant,Chinese Restaurant,Thai Restaurant,Southern / Soul Food Restaurant,Asian Restaurant,Seafood Restaurant,Taco Place,Gastropub,Latin American Restaurant,Donut Shop,Peruvian Restaurant,Gluten-free Restaurant
87,88,Gilbert,Arizona,"248,279",33.3103,-111.7431,"Gilbert, Arizona",0,Pizza Place,Sandwich Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Burger Joint,Breakfast Spot,BBQ Joint,Sushi Restaurant,Mediterranean Restaurant,Seafood Restaurant,Korean Restaurant,Japanese Restaurant,Café,Fried Chicken Joint,Gastropub,Vegetarian / Vegan Restaurant,Greek Restaurant,Chinese Restaurant,Burrito Place,Deli / Bodega,Fast Food Restaurant,Diner,Middle Eastern Restaurant,South American Restaurant
88,89,Winston–Salem,North Carolina,"246,328",36.1027,-80.261,"Winston–Salem, North Carolina",6,American Restaurant,Pizza Place,Bakery,Mexican Restaurant,Fast Food Restaurant,Italian Restaurant,Burger Joint,Greek Restaurant,Breakfast Spot,Wings Joint,Seafood Restaurant,BBQ Joint,Asian Restaurant,Deli / Bodega,Café,Donut Shop,Steakhouse,Southern / Soul Food Restaurant,Japanese Restaurant,Thai Restaurant,Szechuan Restaurant,French Restaurant,Caribbean Restaurant,Mediterranean Restaurant,Fried Chicken Joint
89,90,North Las Vegas,Nevada,"245,949",36.2857,-115.0939,"North Las Vegas, Nevada",2,Japanese Restaurant,Steakhouse,Italian Restaurant,American Restaurant,Sushi Restaurant,Seafood Restaurant,Sandwich Place,Mexican Restaurant,Breakfast Spot,Pizza Place,Thai Restaurant,French Restaurant,Taco Place,Burger Joint,Fast Food Restaurant,Gastropub,BBQ Joint,Asian Restaurant,Southern / Soul Food Restaurant,Café,Chinese Restaurant,Korean Restaurant,Cajun / Creole Restaurant,Deli / Bodega,Diner
90,91,Norfolk,Virginia,"244,076",36.923,-76.2446,"Norfolk, Virginia",6,American Restaurant,Sandwich Place,Seafood Restaurant,Pizza Place,Mexican Restaurant,Donut Shop,Breakfast Spot,Bakery,Chinese Restaurant,Burger Joint,Diner,Fast Food Restaurant,Café,Steakhouse,Mediterranean Restaurant,Italian Restaurant,Vietnamese Restaurant,Wings Joint,Deli / Bodega,Bagel Shop,Burrito Place,Sushi Restaurant,Middle Eastern Restaurant,Bistro,Asian Restaurant
91,92,Chesapeake,Virginia,"242,634",36.6794,-76.3018,"Chesapeake, Virginia",6,Sandwich Place,American Restaurant,Mexican Restaurant,Pizza Place,Donut Shop,Burger Joint,Steakhouse,Italian Restaurant,Bakery,Sushi Restaurant,Fast Food Restaurant,Chinese Restaurant,Café,Breakfast Spot,Mediterranean Restaurant,Vietnamese Restaurant,Seafood Restaurant,Burrito Place,Wings Joint,Deli / Bodega,Asian Restaurant,Diner,Bistro,Middle Eastern Restaurant,Caribbean Restaurant
92,93,Garland,Texas,"242,507",32.9098,-96.6303,"Garland, Texas",2,American Restaurant,Pizza Place,Seafood Restaurant,New American Restaurant,Burger Joint,Mexican Restaurant,Italian Restaurant,Greek Restaurant,Fast Food Restaurant,BBQ Joint,Steakhouse,Taco Place,Sushi Restaurant,Café,Southern / Soul Food Restaurant,Japanese Restaurant,Tex-Mex Restaurant,Fried Chicken Joint,Diner,Thai Restaurant,Noodle House,Mediterranean Restaurant,Salad Place,Latin American Restaurant,Asian Restaurant
93,94,Irving,Texas,"242,242",32.8577,-96.97,"Irving, Texas",2,American Restaurant,Mexican Restaurant,Seafood Restaurant,Steakhouse,Burger Joint,Pizza Place,BBQ Joint,Fast Food Restaurant,Taco Place,New American Restaurant,Greek Restaurant,Tex-Mex Restaurant,Southern / Soul Food Restaurant,Café,Fried Chicken Joint,Japanese Restaurant,Bakery,Latin American Restaurant,Italian Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Salad Place,Sandwich Place,Korean Restaurant,Diner
94,95,Hialeah,Florida,"238,942",25.8699,-80.3029,"Hialeah, Florida",3,Italian Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Café,Bakery,Seafood Restaurant,Sandwich Place,Japanese Restaurant,Spanish Restaurant,Cuban Restaurant,Fast Food Restaurant,Argentinian Restaurant,Gastropub,French Restaurant,Food Truck,Steakhouse,Asian Restaurant,Burger Joint,Donut Shop,Food,Portuguese Restaurant,Mediterranean Restaurant,Deli / Bodega,Peruvian Restaurant
95,96,Fremont,California,"237,807",37.4945,-121.9412,"Fremont, California",5,Sandwich Place,Pizza Place,American Restaurant,Japanese Restaurant,Fast Food Restaurant,Café,Mexican Restaurant,Burger Joint,Breakfast Spot,Bakery,Greek Restaurant,Israeli Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Hunan Restaurant,Falafel Restaurant,Korean Restaurant,Deli / Bodega,Seafood Restaurant,Middle Eastern Restaurant,Donut Shop,Caribbean Restaurant,Ramen Restaurant,German Restaurant,Italian Restaurant
96,97,Boise,Idaho,"228,790",43.6002,-116.2317,"Boise, Idaho",0,Pizza Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Breakfast Spot,Thai Restaurant,Burger Joint,Greek Restaurant,Chinese Restaurant,Sushi Restaurant,Indian Restaurant,Diner,Sandwich Place,Bagel Shop,Bakery,Seafood Restaurant,BBQ Joint,Steakhouse,Salad Place,Fast Food Restaurant,Deli / Bodega,Cuban Restaurant,Fondue Restaurant,Latin American Restaurant,Donut Shop
97,98,Richmond,Virginia,"228,783",37.5314,-77.476,"Richmond, Virginia",3,American Restaurant,New American Restaurant,Sandwich Place,Seafood Restaurant,Pizza Place,Italian Restaurant,Bakery,Fast Food Restaurant,Breakfast Spot,Southern / Soul Food Restaurant,Burger Joint,BBQ Joint,Donut Shop,Café,Sushi Restaurant,Diner,Mexican Restaurant,Greek Restaurant,Mediterranean Restaurant,Vietnamese Restaurant,Thai Restaurant,French Restaurant,Gastropub,Vegetarian / Vegan Restaurant,Latin American Restaurant
98,99,Baton Rouge,Louisiana,"221,599",30.4422,-91.1309,"Baton Rouge, Louisiana",2,Cajun / Creole Restaurant,Seafood Restaurant,Mexican Restaurant,Burger Joint,Italian Restaurant,Café,BBQ Joint,Mediterranean Restaurant,Steakhouse,Deli / Bodega,Pizza Place,Bakery,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Donut Shop,Burrito Place,American Restaurant,Southern / Soul Food Restaurant,Greek Restaurant,Chinese Restaurant,Sushi Restaurant,Breakfast Spot,New American Restaurant,Vietnamese Restaurant
99,100,Spokane,Washington,"219,190",47.6669,-117.4333,"Spokane, Washington",0,Pizza Place,American Restaurant,Diner,Breakfast Spot,Italian Restaurant,Mexican Restaurant,Sandwich Place,Sushi Restaurant,Bakery,Burger Joint,Gastropub,Asian Restaurant,Steakhouse,Café,Vegetarian / Vegan Restaurant,New American Restaurant,Indian Restaurant,Vietnamese Restaurant,Noodle House,Wings Joint,Hot Dog Joint,Greek Restaurant,Seafood Restaurant,Fondue Restaurant,Chinese Restaurant
100,101,Des Moines,Iowa,"216,853",41.5726,-93.6102,"Des Moines, Iowa",0,Italian Restaurant,Pizza Place,American Restaurant,Sushi Restaurant,Asian Restaurant,BBQ Joint,Café,Burger Joint,Taco Place,Steakhouse,New American Restaurant,Deli / Bodega,Chinese Restaurant,Vietnamese Restaurant,Breakfast Spot,Thai Restaurant,Donut Shop,Mexican Restaurant,Sandwich Place,Noodle House,Fast Food Restaurant,Greek Restaurant,Seafood Restaurant,Cuban Restaurant,Diner
101,102,Tacoma,Washington,"216,279",47.2522,-122.4598,"Tacoma, Washington",5,Mexican Restaurant,Pizza Place,Vietnamese Restaurant,Café,Sandwich Place,Italian Restaurant,Bakery,Burger Joint,Sushi Restaurant,Diner,Seafood Restaurant,Food Truck,Japanese Restaurant,New American Restaurant,Thai Restaurant,Indian Restaurant,BBQ Joint,Taco Place,Asian Restaurant,Fast Food Restaurant,Donut Shop,Breakfast Spot,Dumpling Restaurant,Hawaiian Restaurant,Steakhouse
102,103,San Bernardino,California,"215,941",34.1416,-117.2936,"San Bernardino, California",1,Mexican Restaurant,Burger Joint,American Restaurant,Italian Restaurant,Sushi Restaurant,Bakery,Fast Food Restaurant,Pizza Place,Thai Restaurant,Café,Sandwich Place,Gastropub,Breakfast Spot,Seafood Restaurant,Taco Place,Chinese Restaurant,Deli / Bodega,Donut Shop,Food Truck,Salad Place,Diner,Caribbean Restaurant,Hawaiian Restaurant,Japanese Restaurant,Southern / Soul Food Restaurant
103,104,Modesto,California,"215,030",37.6375,-121.003,"Modesto, California",1,Mexican Restaurant,American Restaurant,Burger Joint,Sushi Restaurant,Italian Restaurant,Pizza Place,Chinese Restaurant,Steakhouse,Breakfast Spot,Sandwich Place,Bakery,BBQ Joint,Fast Food Restaurant,Café,Middle Eastern Restaurant,Thai Restaurant,Gastropub,Asian Restaurant,New American Restaurant,Donut Shop,Diner,Irish Pub,Mediterranean Restaurant,Food,Fried Chicken Joint
104,105,Fontana,California,"213,739",34.109,-117.4629,"Fontana, California",1,Mexican Restaurant,American Restaurant,Burger Joint,Sandwich Place,Thai Restaurant,Pizza Place,Fast Food Restaurant,Italian Restaurant,Bakery,Gastropub,Café,Breakfast Spot,Sushi Restaurant,Mediterranean Restaurant,Deli / Bodega,Hot Dog Joint,Indian Restaurant,Steakhouse,Asian Restaurant,Chinese Restaurant,Korean Restaurant,Taco Place,Caribbean Restaurant,Donut Shop,Greek Restaurant
105,106,Santa Clarita,California,"210,089",34.403,-118.5042,"Santa Clarita, California",5,Italian Restaurant,Sushi Restaurant,American Restaurant,Pizza Place,Bakery,Sandwich Place,Deli / Bodega,Steakhouse,Café,Burger Joint,Mexican Restaurant,Vegetarian / Vegan Restaurant,BBQ Joint,Mediterranean Restaurant,Poke Place,Japanese Restaurant,Breakfast Spot,Brazilian Restaurant,New American Restaurant,French Restaurant,Vietnamese Restaurant,Food Truck,Taco Place,Tapas Restaurant,Thai Restaurant
106,107,Birmingham,Alabama,"209,880",33.5274,-86.799,"Birmingham, Alabama",0,American Restaurant,Mediterranean Restaurant,BBQ Joint,Pizza Place,Italian Restaurant,Bakery,Mexican Restaurant,Sandwich Place,New American Restaurant,Gastropub,French Restaurant,Steakhouse,Sushi Restaurant,Southern / Soul Food Restaurant,Breakfast Spot,Seafood Restaurant,Donut Shop,Chinese Restaurant,Café,Fast Food Restaurant,Fried Chicken Joint,Latin American Restaurant,Ramen Restaurant,Food Court,Diner
107,108,Oxnard,California,"209,877",34.2023,-119.2046,"Oxnard, California",1,Mexican Restaurant,Pizza Place,Breakfast Spot,Seafood Restaurant,Burger Joint,American Restaurant,Café,Japanese Restaurant,BBQ Joint,Chinese Restaurant,Italian Restaurant,Sandwich Place,Steakhouse,Sushi Restaurant,Thai Restaurant,Taco Place,Vietnamese Restaurant,Indian Restaurant,Donut Shop,Cajun / Creole Restaurant,Deli / Bodega,Korean Restaurant,Mediterranean Restaurant,Gastropub,Bakery
108,109,Fayetteville,North Carolina,"209,468",35.0828,-78.9735,"Fayetteville, North Carolina",1,Sandwich Place,Japanese Restaurant,Burger Joint,Pizza Place,Fast Food Restaurant,American Restaurant,Mexican Restaurant,Seafood Restaurant,Italian Restaurant,Café,Deli / Bodega,Fried Chicken Joint,Bakery,Diner,Donut Shop,BBQ Joint,Steakhouse,Vietnamese Restaurant,Asian Restaurant,Noodle House,Mediterranean Restaurant,Greek Restaurant,Hot Dog Joint,German Restaurant,Cuban Restaurant
109,110,Moreno Valley,California,"209,050",33.9233,-117.2057,"Moreno Valley, California",1,Mexican Restaurant,Burger Joint,Pizza Place,American Restaurant,Sandwich Place,Italian Restaurant,Thai Restaurant,Sushi Restaurant,Fast Food Restaurant,Breakfast Spot,Bakery,Steakhouse,Hot Dog Joint,Café,BBQ Joint,Gastropub,Indian Restaurant,Asian Restaurant,Taco Place,Vietnamese Restaurant,German Restaurant,Tex-Mex Restaurant,Southern / Soul Food Restaurant,Bagel Shop,Deli / Bodega
110,111,Rochester,New York,"206,284",43.1699,-77.6169,"Rochester, New York",5,Bakery,Italian Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Deli / Bodega,Burger Joint,Café,Sandwich Place,Breakfast Spot,German Restaurant,Asian Restaurant,Diner,Donut Shop,Steakhouse,Mediterranean Restaurant,Sushi Restaurant,Food Truck,French Restaurant,Bagel Shop,BBQ Joint,New American Restaurant,Vietnamese Restaurant,Hot Dog Joint,Jewish Restaurant
111,112,Glendale,California,"201,361",34.1814,-118.2458,"Glendale, California",5,Sandwich Place,Bakery,Sushi Restaurant,Italian Restaurant,Taco Place,Café,Pizza Place,Korean Restaurant,Mediterranean Restaurant,Japanese Restaurant,New American Restaurant,American Restaurant,Mexican Restaurant,Asian Restaurant,Deli / Bodega,French Restaurant,Food Truck,Burger Joint,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Seafood Restaurant,Latin American Restaurant,Salad Place,Filipino Restaurant,Falafel Restaurant
112,113,Huntington Beach,California,"200,641",33.6906,-118.0093,"Huntington Beach, California",3,Mexican Restaurant,American Restaurant,Seafood Restaurant,Bakery,Burger Joint,Italian Restaurant,Pizza Place,Steakhouse,Vegetarian / Vegan Restaurant,Sushi Restaurant,Korean Restaurant,Fast Food Restaurant,Café,Sandwich Place,French Restaurant,Donut Shop,Japanese Restaurant,Mediterranean Restaurant,Deli / Bodega,Salad Place,Food Court,Latin American Restaurant,Chinese Restaurant,Cuban Restaurant,New American Restaurant
113,114,Salt Lake City,Utah,"200,591",40.7769,-111.931,"Salt Lake City, Utah",5,Pizza Place,Mexican Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Bakery,Café,New American Restaurant,Burger Joint,Greek Restaurant,American Restaurant,Italian Restaurant,Indian Restaurant,Japanese Restaurant,Mediterranean Restaurant,Diner,Breakfast Spot,Thai Restaurant,Vietnamese Restaurant,Asian Restaurant,Deli / Bodega,Seafood Restaurant,Middle Eastern Restaurant,Sushi Restaurant,Hot Dog Joint,Noodle House
114,115,Grand Rapids,Michigan,"200,217",42.9612,-85.6556,"Grand Rapids, Michigan",1,Mexican Restaurant,American Restaurant,Pizza Place,Café,Bakery,Donut Shop,Sandwich Place,Breakfast Spot,New American Restaurant,Steakhouse,Sushi Restaurant,Burger Joint,Italian Restaurant,Indian Restaurant,Hot Dog Joint,Seafood Restaurant,Mediterranean Restaurant,Thai Restaurant,BBQ Joint,Deli / Bodega,Gastropub,Chinese Restaurant,Diner,Greek Restaurant,Irish Pub
115,116,Amarillo,Texas,"199,924",35.1999,-101.8302,"Amarillo, Texas",4,Mexican Restaurant,Burger Joint,American Restaurant,Fast Food Restaurant,Steakhouse,Italian Restaurant,Deli / Bodega,Asian Restaurant,Pizza Place,BBQ Joint,Sandwich Place,Bakery,Seafood Restaurant,New American Restaurant,Diner,Taco Place,Tex-Mex Restaurant,Thai Restaurant,Sushi Restaurant,Bagel Shop,Japanese Restaurant,Breakfast Spot,Indian Restaurant,Burrito Place,Fish & Chips Shop
116,117,Yonkers,New York,"199,663",40.9459,-73.8674,"Yonkers, New York",5,Bakery,Pizza Place,American Restaurant,New American Restaurant,Sushi Restaurant,Greek Restaurant,Seafood Restaurant,Italian Restaurant,Salad Place,Sandwich Place,Café,Korean Restaurant,Mediterranean Restaurant,Chinese Restaurant,Thai Restaurant,Taco Place,Bagel Shop,French Restaurant,Japanese Restaurant,Spanish Restaurant,Mexican Restaurant,Southern / Soul Food Restaurant,Tapas Restaurant,Steakhouse,Deli / Bodega
117,118,Aurora,Illinois,"199,602",41.7635,-88.2901,"Aurora, Illinois",6,Hot Dog Joint,Breakfast Spot,Mexican Restaurant,American Restaurant,Pizza Place,BBQ Joint,Italian Restaurant,Steakhouse,Bakery,Deli / Bodega,Seafood Restaurant,Snack Place,Fast Food Restaurant,New American Restaurant,Sandwich Place,Diner,Burrito Place,Wings Joint,Café,Chinese Restaurant,Mediterranean Restaurant,Burger Joint,Southern / Soul Food Restaurant,Sushi Restaurant,Brazilian Restaurant
118,119,Montgomery,Alabama,"198,218",32.3472,-86.2661,"Montgomery, Alabama",1,Mexican Restaurant,American Restaurant,Pizza Place,Deli / Bodega,Seafood Restaurant,Thai Restaurant,Fast Food Restaurant,Fried Chicken Joint,Italian Restaurant,Burger Joint,BBQ Joint,Sandwich Place,Bakery,Mediterranean Restaurant,Steakhouse,Southern / Soul Food Restaurant,Chinese Restaurant,Donut Shop,Café,Sushi Restaurant,Wings Joint,Breakfast Spot,Japanese Restaurant,Gastropub,Vietnamese Restaurant
119,120,Akron,Ohio,"198,006",41.0805,-81.5214,"Akron, Ohio",6,American Restaurant,Mexican Restaurant,Burger Joint,Italian Restaurant,Pizza Place,Middle Eastern Restaurant,Sandwich Place,Sushi Restaurant,Wings Joint,Chinese Restaurant,Seafood Restaurant,Fast Food Restaurant,Bakery,Mediterranean Restaurant,Gastropub,Donut Shop,Diner,Japanese Restaurant,Café,Deli / Bodega,Steakhouse,Breakfast Spot,Bagel Shop,New American Restaurant,Cajun / Creole Restaurant
120,121,Little Rock,Arkansas,"197,881",34.7254,-92.3586,"Little Rock, Arkansas",1,Mexican Restaurant,American Restaurant,Pizza Place,Taco Place,Burger Joint,Seafood Restaurant,Cajun / Creole Restaurant,Chinese Restaurant,Southern / Soul Food Restaurant,Fast Food Restaurant,BBQ Joint,Steakhouse,Bakery,Italian Restaurant,Mediterranean Restaurant,Sushi Restaurant,Japanese Restaurant,Fried Chicken Joint,Indian Restaurant,Asian Restaurant,German Restaurant,Diner,Donut Shop,Greek Restaurant,Café
121,122,Huntsville,Alabama,"197,318",34.699,-86.673,"Huntsville, Alabama",1,Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,BBQ Joint,Vietnamese Restaurant,Food Truck,Steakhouse,Sandwich Place,Sushi Restaurant,Thai Restaurant,Bakery,Fried Chicken Joint,Japanese Restaurant,Café,Cajun / Creole Restaurant,Noodle House,Italian Restaurant,Fast Food Restaurant,German Restaurant,Greek Restaurant,Diner,Mediterranean Restaurant,Salad Place,New American Restaurant
122,123,Augusta,Georgia,"196,939",33.3655,-82.0734,"Augusta, Georgia",1,American Restaurant,Mexican Restaurant,Pizza Place,Japanese Restaurant,Sandwich Place,Deli / Bodega,Seafood Restaurant,Burger Joint,Donut Shop,Steakhouse,Breakfast Spot,Sushi Restaurant,BBQ Joint,Fast Food Restaurant,Café,Southern / Soul Food Restaurant,Chinese Restaurant,Wings Joint,Burrito Place,Asian Restaurant,Indian Restaurant,Bakery,Buffet,Thai Restaurant,Mongolian Restaurant
123,124,Port St. Lucie,Florida,"195,248",27.2806,-80.3883,"Port St. Lucie, Florida",3,American Restaurant,Seafood Restaurant,Pizza Place,Italian Restaurant,Mexican Restaurant,Café,Sandwich Place,BBQ Joint,Bakery,Breakfast Spot,Fast Food Restaurant,Steakhouse,Sushi Restaurant,Donut Shop,Wings Joint,Deli / Bodega,Chinese Restaurant,Caribbean Restaurant,Burger Joint,Bagel Shop,Cuban Restaurant,Cajun / Creole Restaurant,Food,Fried Chicken Joint,Gastropub
124,125,Grand Prairie,Texas,"194,614",32.6869,-97.0211,"Grand Prairie, Texas",2,Seafood Restaurant,Mexican Restaurant,American Restaurant,Pizza Place,Burger Joint,Steakhouse,New American Restaurant,Fast Food Restaurant,Greek Restaurant,Fried Chicken Joint,BBQ Joint,Taco Place,Salad Place,Café,Sandwich Place,Japanese Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Italian Restaurant,Korean Restaurant,Mediterranean Restaurant,Deli / Bodega,Diner,Vietnamese Restaurant,Thai Restaurant
125,126,Columbus,Georgia,"194,160",32.5102,-84.8749,"Columbus, Georgia",1,Mexican Restaurant,BBQ Joint,Pizza Place,American Restaurant,Seafood Restaurant,Fast Food Restaurant,Japanese Restaurant,Italian Restaurant,Bakery,Fried Chicken Joint,Mediterranean Restaurant,Sushi Restaurant,Southern / Soul Food Restaurant,Korean Restaurant,Thai Restaurant,Deli / Bodega,Steakhouse,Breakfast Spot,Sandwich Place,Chinese Restaurant,Burger Joint,Cajun / Creole Restaurant,Diner,Donut Shop,Mongolian Restaurant
126,127,Tallahassee,Florida,"193,551",30.4551,-84.2534,"Tallahassee, Florida",0,Pizza Place,Sandwich Place,Café,American Restaurant,Burger Joint,Mexican Restaurant,Japanese Restaurant,Breakfast Spot,Italian Restaurant,Donut Shop,Fast Food Restaurant,Steakhouse,Bakery,Seafood Restaurant,New American Restaurant,Sushi Restaurant,Hot Dog Joint,Thai Restaurant,Asian Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,BBQ Joint,Indian Restaurant,Greek Restaurant,Diner
127,128,Overland Park,Kansas,"192,536",38.889,-94.6906,"Overland Park, Kansas",6,American Restaurant,Pizza Place,Mexican Restaurant,BBQ Joint,Sandwich Place,Bakery,Breakfast Spot,Greek Restaurant,Italian Restaurant,Asian Restaurant,Thai Restaurant,Seafood Restaurant,Fast Food Restaurant,Indian Restaurant,Salvadoran Restaurant,Steakhouse,Middle Eastern Restaurant,Korean Restaurant,Burger Joint,Sushi Restaurant,Fried Chicken Joint,Japanese Restaurant,Gluten-free Restaurant,Eastern European Restaurant,Empanada Restaurant
128,129,Tempe,Arizona,"192,364",33.3884,-111.9318,"Tempe, Arizona",0,Pizza Place,Sandwich Place,American Restaurant,Burger Joint,Italian Restaurant,Mexican Restaurant,New American Restaurant,Café,BBQ Joint,Breakfast Spot,Vegetarian / Vegan Restaurant,Steakhouse,Mediterranean Restaurant,Seafood Restaurant,Korean Restaurant,Fast Food Restaurant,Hot Dog Joint,Greek Restaurant,Gastropub,Chinese Restaurant,Japanese Restaurant,Deli / Bodega,English Restaurant,Middle Eastern Restaurant,Donut Shop
129,130,McKinney,Texas,"191,645",33.1985,-96.668,"McKinney, Texas",2,BBQ Joint,American Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Steakhouse,Sushi Restaurant,Mexican Restaurant,Bakery,Taco Place,Fast Food Restaurant,Seafood Restaurant,Southern / Soul Food Restaurant,Breakfast Spot,Greek Restaurant,New American Restaurant,Thai Restaurant,Chinese Restaurant,Café,Japanese Restaurant,Food Court,Latin American Restaurant,Bistro,Asian Restaurant,Brazilian Restaurant
130,131,Mobile,Alabama,"189,572",30.6684,-88.1002,"Mobile, Alabama",3,Seafood Restaurant,Mexican Restaurant,Sandwich Place,Fried Chicken Joint,American Restaurant,Italian Restaurant,Pizza Place,Chinese Restaurant,Southern / Soul Food Restaurant,Donut Shop,Deli / Bodega,Fast Food Restaurant,Burger Joint,BBQ Joint,Café,Caribbean Restaurant,Mediterranean Restaurant,Bakery,Indian Restaurant,Irish Pub,Steakhouse,Sushi Restaurant,Greek Restaurant,Breakfast Spot,Diner
131,132,Cape Coral,Florida,"189,343",26.6432,-81.9974,"Cape Coral, Florida",3,Seafood Restaurant,American Restaurant,Pizza Place,Burger Joint,Breakfast Spot,Italian Restaurant,Mexican Restaurant,Café,BBQ Joint,Fast Food Restaurant,Deli / Bodega,Bagel Shop,Sushi Restaurant,Sandwich Place,Caribbean Restaurant,Wings Joint,Chinese Restaurant,Latin American Restaurant,Diner,Peruvian Restaurant,Fish & Chips Shop,New American Restaurant,Tex-Mex Restaurant,Steakhouse,Japanese Restaurant
132,133,Shreveport,Louisiana,"188,987",32.4669,-93.7922,"Shreveport, Louisiana",2,Mexican Restaurant,Italian Restaurant,Burger Joint,Steakhouse,Seafood Restaurant,Sandwich Place,Cajun / Creole Restaurant,Fried Chicken Joint,American Restaurant,Pizza Place,Southern / Soul Food Restaurant,Fast Food Restaurant,New American Restaurant,Wings Joint,Café,Japanese Restaurant,Deli / Bodega,Donut Shop,Chinese Restaurant,French Restaurant,Breakfast Spot,Bistro,Greek Restaurant,Asian Restaurant,BBQ Joint
133,134,Frisco,Texas,"188,170",33.1554,-96.8226,"Frisco, Texas",2,BBQ Joint,Pizza Place,Mexican Restaurant,Steakhouse,Sushi Restaurant,Burger Joint,American Restaurant,Taco Place,Italian Restaurant,Southern / Soul Food Restaurant,Breakfast Spot,Seafood Restaurant,Fast Food Restaurant,Café,Greek Restaurant,New American Restaurant,Bakery,Japanese Restaurant,Thai Restaurant,Chinese Restaurant,Food Court,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Brazilian Restaurant,Bistro
134,135,Knoxville,Tennessee,"187,500",35.9707,-83.9493,"Knoxville, Tennessee",6,American Restaurant,Mexican Restaurant,Pizza Place,Fast Food Restaurant,Sandwich Place,Steakhouse,Chinese Restaurant,BBQ Joint,Bakery,Burger Joint,New American Restaurant,Breakfast Spot,Italian Restaurant,Sushi Restaurant,Donut Shop,Southern / Soul Food Restaurant,Middle Eastern Restaurant,Seafood Restaurant,Gastropub,Taco Place,Asian Restaurant,Thai Restaurant,Vietnamese Restaurant,Fried Chicken Joint,Brazilian Restaurant
135,136,Worcester,Massachusetts,"185,877",42.2695,-71.8078,"Worcester, Massachusetts",6,American Restaurant,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Pizza Place,Sandwich Place,Bakery,Café,Hot Dog Joint,Seafood Restaurant,Mexican Restaurant,Bistro,BBQ Joint,Donut Shop,Gastropub,Diner,Vegetarian / Vegan Restaurant,Steakhouse,Burger Joint,Asian Restaurant,Fast Food Restaurant,Mediterranean Restaurant,New American Restaurant,Deli / Bodega,Cuban Restaurant
