,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
267,268,West Palm Beach,Florida,"111,398",26.7464,-80.1251,"West Palm Beach, Florida",6,American Restaurant,Pizza Place,Seafood Restaurant,Mexican Restaurant,Café,Italian Restaurant,Steakhouse,Diner,Breakfast Spot,French Restaurant,Asian Restaurant,Fast Food Restaurant,Cuban Restaurant,New American Restaurant,Greek Restaurant,Latin American Restaurant,Food Truck,Gastropub,Vegetarian / Vegan Restaurant,Bakery,Mediterranean Restaurant,Middle Eastern Restaurant,Japanese Restaurant,Gluten-free Restaurant,Salad Place
268,269,Peoria,Illinois,"111,388",40.7515,-89.6174,"Peoria, Illinois",6,Mexican Restaurant,American Restaurant,Pizza Place,Italian Restaurant,Steakhouse,Burger Joint,Breakfast Spot,Sandwich Place,Wings Joint,Seafood Restaurant,Café,Bakery,Asian Restaurant,Fast Food Restaurant,BBQ Joint,Chinese Restaurant,Hot Dog Joint,Tex-Mex Restaurant,South American Restaurant,Middle Eastern Restaurant,Mediterranean Restaurant,Deli / Bodega,Diner,New American Restaurant,Gastropub
269,270,Everett,Washington,"111,262",47.9566,-122.1914,"Everett, Washington",3,Pizza Place,American Restaurant,Mexican Restaurant,Thai Restaurant,Burger Joint,Seafood Restaurant,Bakery,Italian Restaurant,Japanese Restaurant,Sandwich Place,Café,Donut Shop,Caribbean Restaurant,Korean Restaurant,Mediterranean Restaurant,Chinese Restaurant,Steakhouse,Taco Place,Food Truck,French Restaurant,Tapas Restaurant,Fast Food Restaurant,Dumpling Restaurant,Deli / Bodega,Creperie
270,271,Ventura,California,"111,128",34.2678,-119.2542,"Ventura, California",1,Mexican Restaurant,Pizza Place,Seafood Restaurant,Burger Joint,Breakfast Spot,American Restaurant,Italian Restaurant,Chinese Restaurant,BBQ Joint,Café,Japanese Restaurant,Sandwich Place,Thai Restaurant,Vietnamese Restaurant,Indian Restaurant,Donut Shop,Sushi Restaurant,Steakhouse,French Restaurant,Deli / Bodega,Brazilian Restaurant,Fast Food Restaurant,Taco Place,Bakery,Cajun / Creole Restaurant
271,272,Centennial,Colorado,"110,831",39.5906,-104.8691,"Centennial, Colorado",1,Mexican Restaurant,Pizza Place,Sandwich Place,Breakfast Spot,American Restaurant,Burger Joint,Italian Restaurant,Fast Food Restaurant,Thai Restaurant,Seafood Restaurant,Taco Place,Sushi Restaurant,French Restaurant,BBQ Joint,Deli / Bodega,Diner,Steakhouse,Chinese Restaurant,Vietnamese Restaurant,New American Restaurant,Cajun / Creole Restaurant,Mediterranean Restaurant,Middle Eastern Restaurant,Fondue Restaurant,Burrito Place
272,273,Lakeland,Florida,"110,516",28.0555,-81.9549,"Lakeland, Florida",0,Pizza Place,American Restaurant,Steakhouse,Mexican Restaurant,Thai Restaurant,Burger Joint,Italian Restaurant,Seafood Restaurant,Bakery,Café,Fast Food Restaurant,BBQ Joint,Donut Shop,Food Truck,Cajun / Creole Restaurant,Cuban Restaurant,Tex-Mex Restaurant,Greek Restaurant,Japanese Restaurant,Hot Dog Joint,Diner,Deli / Bodega,Asian Restaurant,Sushi Restaurant,German Restaurant
273,274,Gresham,Oregon,"110,158",45.5023,-122.4416,"Gresham, Oregon",5,Pizza Place,Breakfast Spot,Food Truck,Thai Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,French Restaurant,Bakery,Mexican Restaurant,Sandwich Place,American Restaurant,Italian Restaurant,Burger Joint,Southern / Soul Food Restaurant,Wings Joint,Mediterranean Restaurant,Diner,Café,Latin American Restaurant,Sushi Restaurant,Indian Restaurant,Ramen Restaurant,Korean Restaurant,Middle Eastern Restaurant,Fast Food Restaurant
274,275,Richmond,California,"110,146",37.9523,-122.3606,"Richmond, California",5,Pizza Place,Bakery,Mexican Restaurant,Sushi Restaurant,Café,Italian Restaurant,Food Truck,New American Restaurant,American Restaurant,French Restaurant,Deli / Bodega,Japanese Restaurant,Sandwich Place,Mediterranean Restaurant,Seafood Restaurant,Asian Restaurant,Vietnamese Restaurant,Latin American Restaurant,Salad Place,Donut Shop,Russian Restaurant,Dim Sum Restaurant,Wings Joint,Moroccan Restaurant,Mac & Cheese Joint
275,276,Billings,Montana,"109,550",45.7885,-108.5499,"Billings, Montana",1,Burger Joint,Mexican Restaurant,Steakhouse,Sandwich Place,American Restaurant,Pizza Place,Fast Food Restaurant,Thai Restaurant,Italian Restaurant,Diner,BBQ Joint,Food,Sushi Restaurant,New American Restaurant,Fried Chicken Joint,Donut Shop,Chinese Restaurant,Café,Soup Place,Wings Joint,Asian Restaurant,Tapas Restaurant,Bakery,Bagel Shop,Greek Restaurant
276,277,Inglewood,California,"109,419",33.9561,-118.3443,"Inglewood, California",2,Italian Restaurant,Mexican Restaurant,American Restaurant,Sushi Restaurant,New American Restaurant,Café,Korean Restaurant,Seafood Restaurant,French Restaurant,Pizza Place,Burger Joint,Deli / Bodega,Steakhouse,Japanese Restaurant,Donut Shop,Food Truck,Mediterranean Restaurant,Fried Chicken Joint,Vegetarian / Vegan Restaurant,Australian Restaurant,Sandwich Place,German Restaurant,Ethiopian Restaurant,Filipino Restaurant,Fast Food Restaurant
